"Name","SI","Handles","VM","WS","PM","NPM","Path","CommandLine","Parent","Company","CPU","FileVersion","ProductVersion","Description","Product","__NounName","SafeHandle","Handle","BasePriority","ExitCode","HasExited","StartTime","ExitTime","Id","MachineName","MaxWorkingSet","MinWorkingSet","Modules","NonpagedSystemMemorySize64","NonpagedSystemMemorySize","PagedMemorySize64","PagedMemorySize","PagedSystemMemorySize64","PagedSystemMemorySize","PeakPagedMemorySize64","PeakPagedMemorySize","PeakWorkingSet64","PeakWorkingSet","PeakVirtualMemorySize64","PeakVirtualMemorySize","PriorityBoostEnabled","PriorityClass","PrivateMemorySize64","PrivateMemorySize","ProcessorAffinity","SessionId","StartInfo","Threads","HandleCount","VirtualMemorySize64","VirtualMemorySize","EnableRaisingEvents","StandardInput","StandardOutput","StandardError","WorkingSet64","WorkingSet","SynchronizingObject","MainModule","PrivilegedProcessorTime","TotalProcessorTime","UserProcessorTime","ProcessName","MainWindowHandle","MainWindowTitle","Responding","Site","Container"
"chrome","1","3776","2307374125056","215244800","120127488","106128","C:\Program Files (x86)\Google\Chrome\Application\chrome.exe","""C:\Program Files (x86)\Google\Chrome\Application\chrome.exe"" ","System.Diagnostics.Process (explorer)","Google LLC","550.609375","121.0.6167.161","121.0.6167.161","Google Chrome","Google Chrome","Process","Microsoft.Win32.SafeHandles.SafeProcessHandle","1064","8",,"False","12/02/2024 13:10:23",,"10428",".","1413120","204800","System.Diagnostics.ProcessModuleCollection","106128","106128","120127488","120127488","1288880","1288880","170934272","170934272","280055808","280055808","2307480629248","1083191296","True","Normal","120127488","120127488","255","1",,"System.Diagnostics.ProcessThreadCollection","3776","2307374125056","976687104","False",,,,"215244800","215244800",,"System.Diagnostics.ProcessModule (chrome.exe)","00:04:18.3750000","00:09:10.6093750","00:04:52.2343750","chrome","656960","ChatGPT – Google Chrome","True",,
"chrome","1","412","3486875975680","472293376","414257152","30216","C:\Program Files (x86)\Google\Chrome\Application\chrome.exe","""C:\Program Files (x86)\Google\Chrome\Application\chrome.exe"" --type=renderer --no-appcompat-clear --lang=da --device-scale-factor=1 --num-raster-threads=4 --enable-main-frame-before-activation --renderer-client-id=239 --time-ticks-at-unix-epoch=-1707727357015823 --launch-time-ticks=85249190466 --mojo-platform-channel-handle=8652 --field-trial-handle=1936,i,16889701583037576944,4296606388733394171,262144 --variations-seed-version=20240211-180109.886000 /prefetch:1","System.Diagnostics.Process (chrome)","Google LLC","590.796875","121.0.6167.161","121.0.6167.161","Google Chrome","Google Chrome","Process","Microsoft.Win32.SafeHandles.SafeProcessHandle","4140","8",,"False","13/02/2024 09:23:26",,"12044",".","1413120","204800","System.Diagnostics.ProcessModuleCollection","30216","30216","414257152","414257152","733232","733232","501153792","501153792","558702592","558702592","3486917070848","-596373504","True","Normal","414257152","414257152","255","1",,"System.Diagnostics.ProcessThreadCollection","412","3486875975680","-637468672","False",,,,"472293376","472293376",,"System.Diagnostics.ProcessModule (chrome.exe)","00:00:54.1250000","00:09:50.7968750","00:08:56.6718750","chrome","0","","True",,
"chrome","1","299","2306859339776","24195072","16781312","17944","C:\Program Files (x86)\Google\Chrome\Application\chrome.exe","""C:\Program Files (x86)\Google\Chrome\Application\chrome.exe"" --type=utility --utility-sub-type=audio.mojom.AudioService --lang=da --service-sandbox-type=audio --no-appcompat-clear --mojo-platform-channel-handle=6788 --field-trial-handle=1936,i,16889701583037576944,4296606388733394171,262144 --variations-seed-version=20240211-180109.886000 /prefetch:8","System.Diagnostics.Process (chrome)","Google LLC","7.5625","121.0.6167.161","121.0.6167.161","Google Chrome","Google Chrome","Process","Microsoft.Win32.SafeHandles.SafeProcessHandle","4196","8",,"False","12/02/2024 13:10:33",,"14736",".","1413120","204800","System.Diagnostics.ProcessModuleCollection","17944","17944","16781312","16781312","701536","701536","17096704","17096704","26001408","26001408","2306891636736","494198784","True","Normal","16781312","16781312","255","1",,"System.Diagnostics.ProcessThreadCollection","299","2306859339776","461901824","False",,,,"24195072","24195072",,"System.Diagnostics.ProcessModule (chrome.exe)","00:00:02.1562500","00:00:07.5625000","00:00:05.4062500","chrome","0","","True",,
"chrome","1","233","2306837671936","21663744","18104320","15224","C:\Program Files (x86)\Google\Chrome\Application\chrome.exe","""C:\Program Files (x86)\Google\Chrome\Application\chrome.exe"" --type=utility --utility-sub-type=storage.mojom.StorageService --lang=da --service-sandbox-type=service --no-appcompat-clear --mojo-platform-channel-handle=2392 --field-trial-handle=1936,i,16889701583037576944,4296606388733394171,262144 --variations-seed-version=20240211-180109.886000 /prefetch:8","System.Diagnostics.Process (chrome)","Google LLC","2.125","121.0.6167.161","121.0.6167.161","Google Chrome","Google Chrome","Process","Microsoft.Win32.SafeHandles.SafeProcessHandle","4192","8",,"False","12/02/2024 13:10:23",,"16268",".","1413120","204800","System.Diagnostics.ProcessModuleCollection","15224","15224","18104320","18104320","639320","639320","30842880","30842880","35700736","35700736","2306854187008","456749056","True","Normal","18104320","18104320","255","1",,"System.Diagnostics.ProcessThreadCollection","233","2306837671936","440233984","False",,,,"21663744","21663744",,"System.Diagnostics.ProcessModule (chrome.exe)","00:00:00.7343750","00:00:02.1250000","00:00:01.3906250","chrome","0","","True",,
"chrome","1","222","2272223453184","9703424","7024640","10600","C:\Program Files (x86)\Google\Chrome\Application\chrome.exe","""C:\Program Files (x86)\Google\Chrome\Application\chrome.exe"" --type=crashpad-handler ""--user-data-dir=C:\Users\DstMove\AppData\Local\Google\Chrome\User Data"" /prefetch:7 --monitor-self-annotation=ptype=crashpad-handler ""--database=C:\Users\DstMove\AppData\Local\Google\Chrome\User Data\Crashpad"" ""--metrics-dir=C:\Users\DstMove\AppData\Local\Google\Chrome\User Data"" --url=https://clients2.google.com/cr/report --annotation=channel= --annotation=plat=Win64 --annotation=prod=Chrome --annotation=ver=121.0.6167.161 --initial-client-data=0x220,0x224,0x228,0x1fc,0x22c,0x7ffea1142c60,0x7ffea1142c6c,0x7ffea1142c78","System.Diagnostics.Process (chrome)","Google LLC","0.140625","121.0.6167.161","121.0.6167.161","Google Chrome","Google Chrome","Process","Microsoft.Win32.SafeHandles.SafeProcessHandle","4188","8",,"False","12/02/2024 13:10:23",,"16344",".","1413120","204800","System.Diagnostics.ProcessModuleCollection","10600","10600","7024640","7024640","175968","175968","7098368","7098368","10420224","10420224","2272248619008","210919424","True","Normal","7024640","7024640","255","1",,"System.Diagnostics.ProcessThreadCollection","222","2272223453184","185753600","False",,,,"9703424","9703424",,"System.Diagnostics.ProcessModule (chrome.exe)","00:00:00.0937500","00:00:00.1406250","00:00:00.0468750","chrome","0","","True",,
"chrome","1","419","3486874849280","271368192","224690176","31032","C:\Program Files (x86)\Google\Chrome\Application\chrome.exe","""C:\Program Files (x86)\Google\Chrome\Application\chrome.exe"" --type=renderer --no-appcompat-clear --lang=da --device-scale-factor=1 --num-raster-threads=4 --enable-main-frame-before-activation --renderer-client-id=345 --time-ticks-at-unix-epoch=-1707727357015823 --launch-time-ticks=89428223388 --mojo-platform-channel-handle=14416 --field-trial-handle=1936,i,16889701583037576944,4296606388733394171,262144 --variations-seed-version=20240211-180109.886000 /prefetch:1","System.Diagnostics.Process (chrome)","Google LLC","34.296875","121.0.6167.161","121.0.6167.161","Google Chrome","Google Chrome","Process","Microsoft.Win32.SafeHandles.SafeProcessHandle","4228","4",,"False","13/02/2024 10:33:05",,"16532",".","1413120","204800","System.Diagnostics.ProcessModuleCollection","31032","31032","224690176","224690176","747416","747416","242872320","242872320","290385920","290385920","3489144643584","1631199232","True","Idle","224690176","224690176","255","1",,"System.Diagnostics.ProcessThreadCollection","419","3486874849280","-638595072","False",,,,"271368192","271368192",,"System.Diagnostics.ProcessModule (chrome.exe)","00:00:02.0312500","00:00:34.2968750","00:00:32.2656250","chrome","0","","True",,
"chrome","1","408","3486868631552","309944320","268619776","28240","C:\Program Files (x86)\Google\Chrome\Application\chrome.exe","""C:\Program Files (x86)\Google\Chrome\Application\chrome.exe"" --type=renderer --no-appcompat-clear --lang=da --device-scale-factor=1 --num-raster-threads=4 --enable-main-frame-before-activation --renderer-client-id=321 --time-ticks-at-unix-epoch=-1707727357015823 --launch-time-ticks=88326987614 --mojo-platform-channel-handle=10284 --field-trial-handle=1936,i,16889701583037576944,4296606388733394171,262144 --variations-seed-version=20240211-180109.886000 /prefetch:1","System.Diagnostics.Process (chrome)","Google LLC","98.75","121.0.6167.161","121.0.6167.161","Google Chrome","Google Chrome","Process","Microsoft.Win32.SafeHandles.SafeProcessHandle","4324","4",,"False","13/02/2024 10:14:44",,"19996",".","1413120","204800","System.Diagnostics.ProcessModuleCollection","28240","28240","268619776","268619776","729128","729128","289153024","289153024","331042816","331042816","3487954137088","440692736","True","Idle","268619776","268619776","255","1",,"System.Diagnostics.ProcessThreadCollection","408","3486868631552","-644812800","False",,,,"309944320","309944320",,"System.Diagnostics.ProcessModule (chrome.exe)","00:00:09.0781250","00:01:38.7500000","00:01:29.6718750","chrome","0","","True",,
"Code","1","527","2238443970560","155541504","118095872","23496","C:\Users\DstMove\AppData\Local\Programs\Microsoft VS Code\Code.exe","""C:\Users\DstMove\AppData\Local\Programs\Microsoft VS Code\Code.exe"" --type=gpu-process --user-data-dir=""C:\Users\DstMove\AppData\Roaming\Code"" --gpu-preferences=WAAAAAAAAADgAAAMAAAAAAAAAAAAAAAAAABgAAAAAAA4AAAAAAAAAAAAAAAEAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAGAAAAAAAAAAYAAAAAAAAAAgAAAAAAAAACAAAAAAAAAAIAAAAAAAAAA== --mojo-platform-channel-handle=1680 --field-trial-handle=1684,i,11062129029785470797,17055400252434384213,262144 --disable-features=CalculateNativeWinOcclusion,SpareRendererForSitePerProcess,WinDelaySpellcheckServiceInit,WinRetrieveSuggestionsOnlyOnDemand /prefetch:2","System.Diagnostics.Process (Code)","Microsoft Corporation","53.15625","1.86.1","1.86.1","Visual Studio Code","Visual Studio Code","Process","Microsoft.Win32.SafeHandles.SafeProcessHandle","4260","10",,"False","13/02/2024 11:19:59",,"1820",".","1413120","204800","System.Diagnostics.ProcessModuleCollection","23496","23496","118095872","118095872","948160","948160","128774144","128774144","166916096","166916096","2238483800064","805838848","True","AboveNormal","118095872","118095872","255","1",,"System.Diagnostics.ProcessThreadCollection","527","2238443970560","766009344","False",,,,"155541504","155541504",,"System.Diagnostics.ProcessModule (Code.exe)","00:00:23.8281250","00:00:53.1562500","00:00:29.3281250","Code","0","","True",,
"Code","1","324","3412274634752","258867200","201940992","23336","C:\Users\DstMove\AppData\Local\Programs\Microsoft VS Code\Code.exe","""C:\Users\DstMove\AppData\Local\Programs\Microsoft VS Code\Code.exe"" --type=utility --utility-sub-type=node.mojom.NodeService --lang=en-US --service-sandbox-type=none --dns-result-order=ipv4first --inspect-port=0 --user-data-dir=""C:\Users\DstMove\AppData\Roaming\Code"" --standard-schemes=vscode-webview,vscode-file --enable-sandbox --secure-schemes=vscode-webview,vscode-file --cors-schemes=vscode-webview,vscode-file --fetch-schemes=vscode-webview,vscode-file --service-worker-schemes=vscode-webview --code-cache-schemes=vscode-webview,vscode-file --mojo-platform-channel-handle=3720 --field-trial-handle=1684,i,11062129029785470797,17055400252434384213,262144 --disable-features=CalculateNativeWinOcclusion,SpareRendererForSitePerProcess,WinDelaySpellcheckServiceInit,WinRetrieveSuggestionsOnlyOnDemand /prefetch:8","System.Diagnostics.Process (Code)","Microsoft Corporation","10.90625","1.86.1","1.86.1","Visual Studio Code","Visual Studio Code","Process","Microsoft.Win32.SafeHandles.SafeProcessHandle","4396","8",,"False","13/02/2024 11:20:00",,"6232",".","1413120","204800","System.Diagnostics.ProcessModuleCollection","23336","23336","201940992","201940992","541576","541576","279060480","279060480","317837312","317837312","3412299800576","2095767552","True","Normal","201940992","201940992","255","1",,"System.Diagnostics.ProcessThreadCollection","324","3412274634752","2070601728","False",,,,"258867200","258867200",,"System.Diagnostics.ProcessModule (Code.exe)","00:00:01.8593750","00:00:10.9062500","00:00:09.0468750","Code","0","","True",,
"Code","1","510","3423118397440","251568128","222691328","31744","C:\Users\DstMove\AppData\Local\Programs\Microsoft VS Code\Code.exe","""C:\Users\DstMove\AppData\Local\Programs\Microsoft VS Code\Code.exe"" --type=renderer --user-data-dir=""C:\Users\DstMove\AppData\Roaming\Code"" --standard-schemes=vscode-webview,vscode-file --enable-sandbox --secure-schemes=vscode-webview,vscode-file --cors-schemes=vscode-webview,vscode-file --fetch-schemes=vscode-webview,vscode-file --service-worker-schemes=vscode-webview --code-cache-schemes=vscode-webview,vscode-file --app-user-model-id=Microsoft.VisualStudioCode --app-path=""C:\Users\DstMove\AppData\Local\Programs\Microsoft VS Code\resources\app"" --enable-sandbox --enable-blink-features=HighlightAPI --first-renderer-process --lang=en-US --device-scale-factor=1 --num-raster-threads=4 --enable-main-frame-before-activation --renderer-client-id=4 --time-ticks-at-unix-epoch=-1707727357016177 --launch-time-ticks=92242543575 --mojo-platform-channel-handle=3076 --field-trial-handle=1684,i,11062129029785470797,17055400252434384213,262144 --disable-features=CalculateNativeWinOcclusion,SpareRendererForSitePerProcess,WinDelaySpellcheckServiceInit,WinRetrieveSuggestionsOnlyOnDemand --vscode-window-config=vscode:25b7c3fe-9fb6-43ea-8113-085e79b96ade /prefetch:1","System.Diagnostics.Process (Code)","Microsoft Corporation","142.078125","1.86.1","1.86.1","Visual Studio Code","Visual Studio Code","Process","Microsoft.Win32.SafeHandles.SafeProcessHandle","4316","8",,"False","13/02/2024 11:19:59",,"9288",".","1413120","204800","System.Diagnostics.ProcessModuleCollection","31744","31744","222691328","222691328","687368","687368","388239360","388239360","400105472","400105472","3425191956480","2103021568","True","Normal","222691328","222691328","255","1",,"System.Diagnostics.ProcessThreadCollection","510","3423118397440","29462528","False",,,,"251568128","251568128",,"System.Diagnostics.ProcessModule (Code.exe)","00:00:32.4531250","00:02:22.0781250","00:01:49.6250000","Code","0","","True",,
